Temp;Press;Alt;AccX;AccY;AccZ;GyrX;GyrY;GyrZ;MagX;MagY;MagZ;Yaw;Pitch;Roll;GpsLat;GpsLong;GpsAlt;GpsSpeed;SIV
47,860;786,684;1,182,108;0,685;1,311;-0,647;25,250;-440,437;-10,000;-9,250;-36,188;22,562;178,687;-6,937;-89,813;38396839;33703133;948;79,167;6
47,860;786,921;1,179,347;-0,675;1,226;-0,448;-64,563;-336,250;47,500;9,250;-33,563;22,562;211,375;-5,687;-84,000;38396839;33703133;948;79,167;6
47,860;786,802;1,177,192;-0,045;1,103;0,055;-40,375;-268,000;153,187;15,563;-37,688;11,500;224,562;7,187;-78,375;38396839;33703133;948;79,167;6
47,860;786,684;1,175,598;0,772;1,124;-0,226;27,062;-252,375;162,437;11,875;-40,875;4,750;228,625;25,312;-83,375;38396839;33703133;948;79,167;6
47,860;786,921;1,173,965;1,697;1,187;-1,161;-12,250;-152,625;30,375;0,875;-42,375;3,500;233,875;35,438;-97,250;38396839;33703133;948;79,167;6
47,860;787,157;1,172,285;1,527;0,859;-0,726;-128,750;-113,875;-133,125;-0,500;-43,250;3,875;249,937;30,312;-96,875;38396839;33703133;948;79,167;6
47,860;787,631;1,170,229;0,541;0,823;1,036;-150,250;-215,875;-207,125;9,688;-41,750;-7,187;284,938;14,063;-89,687;38396839;33703133;948;79,167;6
47,860;787,750;1,168,283;-0,038;0,714;1,897;-80,813;-330,688;-179,312;17,375;-34,750;-21,375;325,313;-1,125;-82,000;38396839;33703133;948;79,167;6
47,860;787,868;1,166,444;0,182;0,620;1,855;85,125;-476,562;-148,187;8,688;-31,063;-31,875;27,313;-8,813;-77,063;38396839;33703133;948;79,167;6
47,842;787,955;1,164,747;-0,286;0,609;1,557;136,750;-522,687;-202,250;-8,563;-35,188;-27,062;72,875;-14,375;-78,250;38397079;33703193;0;67,548;5
47,860;788,223;1,162,943;-0,862;0,603;1,807;115,813;-659,375;-174,312;-13,000;-38,500;-16,875;131,687;-18,812;-72,125;38397079;33703193;948;67,548;7
47,860;788,460;1,161,072;-0,359;0,555;1,950;140,437;-604,812;-137,687;-7,562;-43,250;2,063;184,250;-9,938;-67,438;38397091;33703195;948;67,548;6
47,860;788,697;1,159,132;-0,612;0,544;1,054;178,562;-491,000;-168,875;10,750;-39,563;10,062;231,375;-7,625;-75,438;38397098;33703196;948;62,081;6
47,860;788,815;1,157,280;-0,841;0,753;0,427;119,437;-593,562;-156,437;28,750;-31,875;3,563;286,375;-12,875;-79,875;38397098;33703196;948;62,081;6
47,860;788,934;1,155,514;-0,483;0,578;0,584;70,312;-581,625;-77,000;27,562;-27,187;-24,875;339,375;-10,938;-74,500;38397098;33703196;948;62,081;6
47,860;789,171;1,153,678;-0,523;0,819;1,030;85,687;-514,937;-31,063;14,875;-28,687;-32,875;20,312;-1,625;-75,250;38397125;33703195;948;62,081;6
47,860;789,289;1,151,924;-0,093;0,850;0,348;129,750;-454,375;-39,438;-14,063;-32,688;-28,750;57,438;2,938;-86,250;38397139;33703194;948;59,658;6
47,842;789,495;1,150,137;0,130;1,008;0,315;104,688;-441,063;-89,625;-26,500;-36,375;-3,500;103,812;-4,375;-96,875;38397139;33703194;948;59,658;6
47,860;789,644;1,148,388;-0,158;0,839;0,579;41,625;-431,813;-132,062;-14,875;-36,375;18,562;168,750;-22,687;-94,062;38397153;33703193;948;59,658;6
47,860;789,763;1,146,715;-0,376;0,795;1,324;46,750;-434,625;-106,187;10,000;-34,875;22,062;212,562;-30,562;-76,938;38397166;33703191;948;59,749;6
47,860;789,881;1,145,112;-0,526;0,732;1,137;106,875;-378,937;-94,375;29,500;-29,750;10,687;245,625;-26,250;-63,938;38397175;33703185;948;58,334;6
47,860;790,118;1,143,427;-0,758;0,680;0,889;160,812;-451,125;-90,375;36,000;-25,687;-5,750;277,187;-16,812;-61,938;38397181;33703179;948;56,897;6
47,860;790,237;1,141,805;-0,855;0,631;0,703;174,125;-563,375;-85,625;32,000;-25,000;-16,875;314,813;-4,750;-68,813;38397181;33703179;949;56,897;5
47,842;790,442;1,140,136;-0,623;0,667;0,842;162,562;-653,250;-89,250;14,000;-29,062;-31,063;4,312;1,250;-82,812;38397187;33703173;949;56,038;5
47,860;790,592;1,138,488;-0,339;0,701;0,841;142,000;-676,187;-108,750;-12,750;-37,063;-21,375;71,125;-6,812;-94,375;38397187;33703173;949;56,038;5
47,842;790,679;1,136,937;-0,370;0,965;0,531;87,625;-708,563;-112,000;-14,188;-41,063;7,500;145,250;-20,687;-89,375;38397187;33703173;949;56,038;5
47,860;790,829;1,135,403;0,072;0,946;0,832;34,250;-734,062;-70,688;10,375;-37,875;13,688;204,625;-16,875;-69,625;38397214;33703175;949;50,969;5
47,860;791,066;1,133,775;0,619;0,855;0,583;20,375;-682,250;-52,375;19,187;-38,000;3,500;248,687;4,000;-64,875;38397214;33703175;950;50,969;6
47,877;791,215;1,132,160;0,883;0,725;0,317;-7,062;-666,437;-56,750;17,250;-38,000;-17,250;293,875;19,000;-78,375;38397214;33703175;950;50,969;6
47,860;791,421;1,130,489;1,135;0,711;-0,022;-52,063;-631,187;-62,688;-5,375;-38,000;-26,562;351,312;16,250;-95,312;38397214;33703175;950;50,969;6
47,877;791,570;1,128,831;1,148;0,703;0,021;-111,187;-605,375;-43,875;-23,375;-36,500;-11,750;57,438;4,375;-97,313;38397214;33703175;950;50,969;6
47,877;791,807;1,127,081;1,423;0,752;0,369;-107,312;-634,375;0,312;-23,687;-35,750;7,062;115,437;0,187;-88,313;38397214;33703175;950;50,969;6
47,860;791,895;1,125,422;1,395;0,642;0,274;-103,812;-583,750;-17,625;-20,375;-36,500;14,188;164,750;4,375;-81,000;38397214;33703175;950;50,969;6
47,877;792,044;1,123,781;1,558;0,922;0,561;-95,563;-585,750;-31,312;-1,687;-39,875;16,875;208,375;11,438;-78,750;38397279;33703177;950;0,000;6
47,877;792,163;1,122,195;1,568;0,713;0,437;-85,937;-624,812;-61,750;11,188;-40,250;1,750;259,125;15,375;-84,938;38397287;33703173;950;40,014;6
47,877;792,399;1,120,518;1,102;0,743;0,389;-119,188;-583,125;-56,688;10,062;-39,875;-17,250;314,875;11,937;-88,750;38397298;33703170;950;40,459;5
47,860;792,487;1,118,932;1,099;0,692;0,684;-89,938;-628,937;-9,813;-8,188;-36,875;-23,375;10,375;10,313;-89,563;38397307;33703171;950;40,459;5
47,877;792,755;1,117,217;0,916;1,058;0,469;-46,688;-622,375;0,437;-20,687;-34,750;-19,000;66,688;8,813;-93,437;38397319;33703167;950;42,061;5
47,877;792,873;1,115,555;0,537;0,939;0,248;-8,125;-608,375;20,875;-22,187;-32,563;20,062;138,187;3,250;-97,688;38397328;33703164;950;41,651;5
47,877;792,873;1,114,092;0,452;0,935;0,034;13,125;-593,687;22,000;-10,000;-31,375;27,062;196,813;-2,375;-98,437;38397338;33703162;950;41,450;5
47,877;793,228;1,112,392;0,037;0,794;-0,429;2,438;-551,625;37,813;15,563;-31,500;24,000;250,937;-6,312;-95,125;38397338;33703162;950;41,450;5
47,877;793,228;1,110,886;0,322;0,828;-0,725;-24,875;-560,375;75,188;27,687;-34,063;0,000;295,375;-3,188;-89,313;38397338;33703162;950;41,450;5
47,877;793,465;1,109,286;0,757;0,812;-0,761;-39,375;-604,187;108,125;13,375;-37,688;-22,187;336,000;6,875;-87,688;38397354;33703158;951;41,450;5
47,877;793,584;1,107,733;0,897;0,824;-0,723;-26,312;-638,625;117,250;-18,062;-35,063;-20,750;21,000;15,750;-96,438;38397361;33703156;951;40,068;6
47,877;793,584;1,106,369;1,052;0,862;-0,865;-11,750;-667,562;103,688;-31,063;-33,250;-6,562;81,250;11,688;-110,437;38397361;33703156;951;40,068;6
47,894;793,852;1,104,868;0,666;0,762;-0,901;-24,125;-673,437;91,562;-27,375;-23,750;27,562;162,062;-4,062;-113,125;38397361;33703156;951;40,068;6
47,877;794,057;1,103,303;0,717;0,809;-0,746;-33,313;-608,375;114,750;7,875;-24,000;35,500;227,187;-12,500;-101,000;38397385;33703152;951;0,000;8
47,894;794,326;1,101,600;0,947;0,774;-0,446;-6,312;-633,687;104,813;28,375;-29,687;8,750;273,812;-6,750;-89,250;38397393;33703152;951;38,748;8
47,877;794,413;1,099,974;0,883;0,902;-0,273;19,312;-661,688;63,625;19,375;-36,250;-18,250;321,187;2,625;-88,187;38397400;33703151;951;38,053;8
47,894;794,444;1,098,499;0,664;0,943;0,025;36,563;-653,688;25,875;4,562;-38,500;-24,500;16,062;4,750;-95,375;38397400;33703151;951;38,053;6
47,894;794,681;1,096,925;0,520;1,076;0,329;48,500;-642,187;-17,312;-21,000;-38,500;-11,063;81,188;-3,375;-100,687;38397408;33703149;952;38,053;6
47,894;794,799;1,095,395;0,371;0,883;0,550;44,000;-622,937;-52,375;-18,062;-36,688;16,750;149,000;-15,438;-95,625;38397413;33703147;952;38,053;5
47,894;794,918;1,093,906;0,042;0,844;0,759;32,313;-609,500;-59,750;9,250;-34,875;23,062;204,875;-19,562;-80,875;38397413;33703147;952;38,053;5
47,894;795,036;1,092,458;-0,013;0,896;1,203;69,687;-602,562;-41,250;29,500;-33,500;2,188;249,125;-9,375;-70,500;38397413;33703147;952;38,053;5
47,894;795,273;1,090,909;-0,170;0,916;0,855;117,813;-556,562;-71,000;27,375;-33,063;-10,188;290,375;0,875;-76,188;38397438;33703144;952;36,177;6
47,894;795,510;1,089,258;-0,188;0,789;0,733;115,312;-621,250;-92,375;13,750;-35,688;-24,750;342,437;0,437;-88,187;38397446;33703143;952;35,799;6
47,894;795,510;1,087,787;-0,337;0,870;0,600;77,313;-675,375;-102,937;-6,000;-39,688;-22,562;49,687;-9,875;-92,438;38397452;33703142;952;35,360;6
47,894;795,628;1,086,356;-0,223;0,875;0,950;50,813;-730,625;-50,250;-13,688;-42,250;-2,188;115,688;-14,500;-82,500;38397460;33703140;952;35,192;6
47,894;795,984;1,084,684;0,194;0,971;0,497;78,688;-681,625;-42,875;-2,000;-41,500;12,500;186,312;-2,188;-78,000;38397460;33703140;952;35,192;6
47,894;796,102;1,083,050;0,379;0,744;0,279;39,563;-683,500;-62,000;13,375;-39,000;8,875;235,500;2,125;-83,375;38397477;33703134;953;34,947;7
47,894;796,221;1,081,458;0,548;0,752;0,232;-3,000;-676,438;-52,625;21,875;-36,750;-12,000;295,500;1,437;-87,063;38397477;33703134;953;34,947;7
47,911;796,489;1,079,731;0,730;0,801;0,153;-38,250;-666,938;-23,750;13,000;-37,875;-21,562;354,187;1,312;-86,125;38397487;33703132;953;34,947;7
47,911;796,607;1,078,050;0,986;0,795;-0,058;-58,063;-649,125;3,563;-13,000;-37,500;-23,750;47,938;5,375;-84,875;38397500;33703128;954;34,947;8
47,894;796,694;1,076,456;1,020;0,760;-0,185;-72,500;-605,750;32,438;-28,750;-35,000;-1,687;96,875;11,250;-86,813;38397512;33703125;954;35,227;8
